omega_eV,R_bohr,E_bare_Ha,E_QED_Ha,dE_mHa,n_photon
4.0,1.0,-1.1040748062372363,-1.0564337318978068,47.641074339429544,0.012524667198813877
4.0,1.4,-1.1646077905880254,-1.1077451430156169,56.862647572408555,0.02185303053996318
4.0,2.0,-1.1325883965567152,-1.0647212578788512,67.86713867786398,0.04170032167430689
4.0,2.5,-1.0893064562243855,-1.0164670827059494,72.83937351843606,0.05452114809030241
4.0,3.0,-1.0533436493977648,-0.97972689207993,73.6167573178348,0.055528004931515204
4.0,4.0,-1.013900516318346,-0.945302202159681,68.59831415866513,0.04000979312539819
4.0,5.0,-1.0021313637592153,-0.9367124405215375,65.41892323767784,0.03227237497758675
6.0,1.0,-1.1040748062372363,-1.0596622566126244,44.41254962461194,0.01532167690423466
6.0,1.4,-1.1646077905880254,-1.1121377273975737,52.470063190451775,0.025909521536376177
6.0,2.0,-1.1325883965567152,-1.0707776657331236,61.81073082359156,0.04742839493514282
6.0,2.5,-1.0893064562243855,-1.0232995470077773,66.00690921660824,0.06198934044279927
6.0,3.0,-1.0533436493977648,-0.9865754309460253,66.76821845173953,0.06497819121596271
6.0,4.0,-1.013900516318346,-0.9511745552995771,62.72596101876904,0.048522891752070196
6.0,5.0,-1.0021313637592153,-0.9420726957472036,60.05866801201165,0.038019827289875144
8.0,1.0,-1.1040748062372363,-1.062512477194083,41.56232904315327,0.017390027241889858
8.0,1.4,-1.1646077905880254,-1.1159595134194429,48.64827716858255,0.028730854669142332
8.0,2.0,-1.1325883965567152,-1.0759402052503608,56.64819130635435,0.05100392770754173
8.0,2.5,-1.0893064562243855,-1.0291005427950888,60.20591342929671,0.06643097310879308
8.0,3.0,-1.0533436493977648,-0.9924339981616124,60.90965123615244,0.07081408768740675
8.0,4.0,-1.013900516318346,-0.9562709222178878,57.62959410045831,0.05458410559518852
8.0,5.0,-1.0021313637592153,-0.946705644455621,55.4257193035943,0.04214590140301724
10.0,1.0,-1.1040748062372363,-1.0650386295662508,39.03617667098547,0.018879265865192296
10.0,1.4,-1.1646077905880254,-1.119300543841887,45.3072467461384,0.030612367716713947
10.0,2.0,-1.1325883965567152,-1.0803699939308142,52.218402625900936,0.053035321206535146
10.0,2.5,-1.0893064562243855,-1.0340506558353713,55.25580038901423,0.0687421755039268
10.0,3.0,-1.0533436493977648,-0.9974522968354926,55.891352562272175,0.07400797326112948
10.0,4.0,-1.013900516318346,-0.9606942731410976,53.20624317724854,0.05853785013787569
10.0,5.0,-1.0021313637592153,-0.9507301571389067,51.40120662030856,0.044947033705786864
12.7,1.0,-1.1040748062372363,-1.0680168612798735,36.05794495736281,0.02019738908563388
12.7,1.4,-1.1646077905880254,-1.1231816362421931,41.4261543458323,0.03207961522366692
12.7,2.0,-1.1325883965567152,-1.08541641288976,47.17198366695507,0.054121099996797144
12.7,2.5,-1.0893064562243855,-1.0396500033953457,49.65645282903974,0.06964141469091195
12.7,3.0,-1.0533436493977648,-1.0031388341711398,50.20481522662501,0.07552103722569424
12.7,4.0,-1.013900516318346,-0.9657719654032568,48.12855091508928,0.06133740882116917
12.7,5.0,-1.0021313637592153,-0.9553701707011605,46.761193058054815,0.04710654713619539
